date,item,detail,evidence
2026-04 to 2026-07,No establishment-level covariate explains the capacity cuts,"Starting crowding level, crowding ratio, staffing as a percentage of target, staffing gap and officer change all give R2 of 0.001. Only establishment size shows anything (r=-0.21) and it is weak. The 29 establishments that cut capacity did start more crowded (103 places above in-use CNA against 57) but the relationship does not hold continuously. This points to central rather than local decision-making.",outputs/capacity_cut_drivers_2026.csv
CORRECTION,Earlier staffing totals were triple counted,"Annex Table 4 contains three aggregate rows inside the establishment column (""All establishments"", ""Prison Service and YCS Establishment Total"", ""HMPPS HQ and Area Services Total""). Counting them as establishments tripled the estate total. Corrected band 3-5 officers: 22,802 FTE Mar 2024 to 21,277 Jun 2026, a fall of 1,526 (6.7%), not the 4,443 previously stated. The percentage-of-target figures were unaffected because numerator and denominator were inflated equally.",src/staffing_test.py; parse_table4 now excludes aggregate rows
annex Table 4,Annex staffing is not comparable with the main bulletin,"Note 44: privately managed prisons are excluded entirely. Note 41: staff in post is hours-adjusted to a 39-hour week to match target staffing, whereas officers work 37, 39 and 41 hour contracts and the main bulletin counts differently. Note 46 warns of job-mapping differences between annex and main publication. Note 50: annex covers band 3-5, not band 3-4.","Notes sheet, accessible annex"
2017-03 to 2026-06,Use the time series file for staffing over time,"""Time series of HMPPS staff in post receiving pay on staff in post date"" is a 97,451-row panel by date, business group, prison category, establishment and grade, back to March 2017, on a consistent basis. Quarterly tables are not restated (note 16) so cross-release comparisons of the annex are unsafe; this file exists precisely to avoid that.",data/processed/officer_fte_timeseries.csv
2026,Dartmoor closure from radon,"Note 56: Dartmoor staff in post is low because of ongoing radon exposure management, which has led to closure of the prison, redeployment of staff and transfer of prisoners. A named capacity loss with a stated non-financial cause.","Notes sheet, accessible annex"
2026-06,Hollesley Bay and Warren Hill merged,Note 57: merged into a single prison called Hollesley on the HR system from June 2026. Affects establishment matching between staffing and capacity panels.,"Notes sheet, accessible annex"
staffing caveats,Deployed resource exceeds staff in post,"Notes 53 and 54: Payment Plus (overtime) and detached duty are routinely used to supplement establishments below target and are NOT reflected in staff in post. Note 55: target staffing is the level for an optimal regime, above the minimum needed to operate safely. Note 45: targets cannot be used to calculate vacancies because of governors freedoms. So a shortfall against target is not the same as an unsafe or unstaffed prison.","Notes sheet, accessible annex"
2024-03 to 2026-06,Prisoners per officer worsened while the population fell,"Ratio of public sector prison population to band 3-4 officer FTE moved from 3.42 to 3.59 (+5.0%) between Mar 2024 and Jun 2026, and from a best of 3.37 in Sep 2024 (+6.5%). Decomposition: the falling population pushed the ratio DOWN by 0.143, officer losses pushed it UP by 0.315. Entirely an officer-numbers story.",outputs/prisoners_per_officer.csv
2003 to 2026-03,Establishment-level safety data exists and is monthly,"Safety in Custody summary tables 8a to 8g (assaults by establishment, 2003 onward) and 9a/9b (self-harm by establishment, 2004 onward) are monthly, 156 establishments, matching 111 in the capacity panel. Finer resolution than the quarterly staffing annex.",src/safety_test.py
2025-04 to 2026-07,"PARTIAL RESULT: assaults associate with capacity cuts, self-harm does not","Establishments that cut operational capacity had an assault rate of 462 per 1,000 in the prior year against 339 for those that did not, difference +122, t=+2.13. But the continuous relationship is weak: slope -0.014 places per point of assault rate, t=-1.54, R2=0.020, and it does not strengthen when controlling for population and starting crowding (multivariate R2=0.027). Self-harm shows nothing at all (t=+0.31, R2=0.001).",outputs/safety_capacity_test.csv
interpretation,Assault/self-harm asymmetry is mechanistically coherent,"Assaults are a control and order problem that bears directly on how many prisoners can safely be held above certified accommodation; self-harm is a welfare outcome that does not constrain capacity the same way. The asymmetry supports a de-crowding-for-order reading rather than being an artefact, but the effect size remains too small to forecast from.",outputs/safety_capacity_test.csv
2015 to 2025,Estate safety levels,"Assaults per 1,000 prisoners rose from 716 (2015) to a peak of 1,167 (2018), fell to 749 during COVID, and were 1,075 in 2025. Self-harm per 1,000 rose from 1,130 (2015) to a peak of 2,718 (2024) and was 2,500 in 2025, more than double the 2015 rate. 2026 data covers Q1 only and must not be read as a full year.",outputs/safety_estate_annual.csv
1997 to 2025,Table 10 is a ready-made dated supply event log,"Safety in Custody Table 10 lists 81 dated prison openings, closings and major re-roles from 1997, including Five Wells (Mar 2022), Fosse Way (May 2023), Millsike (Apr 2025), Cookham Wood YOI to adult (Aug 2024), Lowdham Grange private to public (Aug 2024) and Dartmoor temporarily closed (Sep 2024). This is the dated capacity schedule WP4 needs, already maintained by MoJ.",outputs/prison_change_log.csv
2023-12 to 2024-08,Dartmoor: 689 places withdrawn and still absent,"Operational capacity ran down from 689 (Oct 2023) to zero by Aug 2024 over roughly nine months, and has stayed at zero through Jul 2026 while baseline CNA remains recorded at 640. Cause is radon exposure management (workforce annex note 56). It is NOT part of the Mar to Jul 2026 decline, which is separate, but it is 689 places of stranded certified accommodation and a live candidate for reactivation in any supply forecast.",monthly_establishments.csv; prison_change_log.csv
2026-01-29,"RESOLVED: the capacity decline is forecast, and it is maintenance","The Annual Statement on Prison Capacity 2025 (published Jan 2026) projects adult estate supply FALLING from 89,900 in May 2026 to 89,300 in Nov 2026 and 88,300 in May 2027, before recovering to 89,800 by May 2028. The decline I found is not unexplained or unannounced; it is in the published supply path. Annex B states the method: places are projected offline for maintenance work including fire safety and Long Term High Security Estate security improvements, plus a dilapidation assumption based on historic averages.","MoJ Annual Statement on Prison Capacity 2025, Figure 4 and Annex B"
supply forecast,MoJ supply projection is scoreable and currently running high,"Forecast adult supply for May 2026 was 89,900 against an actual adult useable operational capacity of 89,090, an overshoot of +810. The demand side overshot far more: forecast 88,800 against an actual adult population of 85,647, +3,153. Both errors are in the same direction as the long-run projection bias.",weekly_population_capacity.csv adult columns vs Figure 4
2024-10-21 onward,Adult-estate UOC is only separable from Oct 2024,"The adult estate figure (adult male plus female, excluding YCS) can only be built from the layout B weekly bulletins, so scoring MoJ supply projections against outturn is limited to Oct 2024 onward. Validation: the statement quotes 88,931 useable operational capacity at 29 Sep 2025 and the weekly series gives exactly 88,931, with adult population 87,021 matching too.",weekly bulletin 29 Sep 2025 vs Annual Statement para 14
HMPPS ARA 2024-25,"Crowding is explicitly a managed, reversible lever","HMPPS Annual Report: crowding is ""a measure in place to hold two prisoners in a cell designed for one... never desirable and only implemented when deemed safe to do. We continually monitor and take places online and offline depending on prison safety, stability, staffing levels and maintenance needs."" So operated crowding is a deliberate dial, which is why no single establishment-level covariate predicts it.",HMPPS Annual Report and Accounts 2024-25
methodology note,"Announced additions exclude losses, by MoJ admission","HMPPS Annual Report states its new-places figures ""represent only additions to the prison supply and do not account for loss of places during this time (for example due to prison closures or dilapidations)"". This confirms the gross-versus-net finding: the 2,900 places delivered since July 2024 is a gross number.",HMPPS Annual Report and Accounts 2024-25
2025-09-30,Corrected staffing figures validated against MoJ,"Annual Statement para 25: staffing at 95% of national target for Band 3-5 prison officers at 30 Sep 2025, a decrease of 1,015 FTE (4.3%) since Sep 2024. My corrected series gives 94.8% at the same date. The earlier triple-counted version could not have been checked this way.",Annual Statement 2025 para 25 vs outputs/officer_staffing_estate.csv
2011 to 2026,"Capacity is endogenous to population, and strongly so","Estimated on 13-week changes: d_cap = +670 -0.305*headroom(t-26) +0.420*d_pop, both t-stats above 15, R2=0.463, n=697. Roughly 42% of any population movement is matched by capacity moving the same way. Implied equilibrium headroom with population flat is about 2,200, close to where headroom sits now.",src/headroom_model_v2.py
robustness,The feedback is not a mechanical artefact,"Regressing d_cap on headroom(t-13) shares a capacity term across both sides and manufactures negative correlation. Three clean checks survive: d_cap on d_pop alone (+0.416, t=16.7); d_cap on d_pop LAGGED a further 13 weeks, so the population move precedes the capacity move (+0.338, t=12.8); and headroom lagged 26 weeks, putting a full 13-week gap between the capacity terms (-0.300, t=-11.9). The adopted specification uses the 26-week lag plus d_pop.",outputs/headroom_projection_v2.csv
2011-2019 vs 2020-2026,The feedback strengthened sharply in the crisis era,Coefficient on d_pop rises from +0.212 (R2 0.061) in 2011-2019 to +0.567 (R2 0.684) in 2020-2026. Capacity used to move for its own reasons; it is now actively managed against population. Any model fitted on the full sample understates the current strength of the feedback.,src/headroom_model_v2.py era split
2026-2027,Endogeneity roughly halves the apparent severity of the outlook,"The exogenous-capacity projection had central headroom negative by April 2027; the endogenous version keeps it near 2,000 through winter and reaches the 557 trigger level in June 2027. The difference is entirely the capacity response: capacity is brought back online as headroom tightens. This is a behavioural relationship, not a physical one, and it holds only while there are offline places available to reactivate.",outputs/headroom_v1_vs_v2.csv
standing forecast,Forecast register opened for out-of-sample scoring,"Central-case headroom forecasts recorded for seven target dates from 25 Sep 2026 to 28 May 2027, to be scored against the weekly bulletins as they publish. First scoreable point is the bulletin for 28 September 2026.",outputs/forecast_register.csv
BUG FIX,asfreq(7D) silently destroys the post-Oct-2024 series,"The weekly grid must not be built with asfreq. The grid anchors on the first observation (Friday 7 Jan 2011) but the reporting day moved to Monday on 21 Oct 2024, so no later observation lands on the grid; asfreq returns NaN throughout and any fill produces a flat line. The previous capacity-feedback estimate lost the last 94 weeks (n=697 against 791). src/weekly_grid.py builds the grid from the observation sequence instead and inserts the 30 genuinely skipped weeks.",src/weekly_grid.py
re-estimated,Corrected capacity feedback coefficients,"Full sample: d_cap = +627 -0.284*headroom(t-26) +0.386*d_pop, t = -14.4 and +19.4, R2=0.418, n=791. Crisis era 2020+: -0.174 (t=-4.5), +0.474 (t=+21.3), R2=0.575. Clean precedence check d_cap ~ d_pop(t-13): +0.316, t=+13.4. Equilibrium headroom 2,203, absorption 39%. Close to the buggy estimates because pre-2024 data dominated, but the crisis-era terms moved most.",data/processed/capacity_coef.json
2011 to 2026,The population trend has no stable sign,"OLS slope by window: 8wk +7,421/yr; 13wk +4,443; 26wk -2,018; 52wk -1,701; 104wk -181; 156wk -357; 260wk +1,710; 520wk +366; full 817wk -65/yr. The sign flips four times. Any single trend estimate is an artefact of the window chosen, and a long-horizon projection built on one is not a forecast.",outputs/population_trend_windows
1 to 10 year horizons,Trend extrapolation is actively harmful at long horizons,"Walk-forward on the full series, population MAE: naive no-change 2,052 (1yr), 3,560 (2yr), 4,794 (3yr), 5,541 (5yr), 2,646 (7yr), 1,191 (10yr). Drift on a 52-week trend: 2,887 / 5,219 / 6,948 / 12,088 / 9,538 / 4,952. Drift on a 260-week trend: 2,384 / 4,226 / 5,824 / 7,628 / 4,480 / 1,416. Naive beats BOTH drift specifications at every horizon from one to ten years. At five years the 52-week drift error is more than double naive.",walk-forward on weekly_grid.csv
five year horizon,Forecast error dwarfs the headroom buffer,"Naive MAE at five years is 5,541 people (6.6%). Current headroom is 2,094. So the irreducible five-year forecast error is nearly three times the entire operating buffer. Ten-year statements about headroom are not meaningfully constrained by evidence.",walk-forward table
2010 to 2024,"PAC: net capacity gain of 1,005 places in fourteen years","Public Accounts Committee: between May 2010 and September 2024 HMPPS added a net 1,005 places (new places minus places lost) against 6,518 gross delivered, so attrition absorbed 85% of gross additions. A written answer gives operational capacity rising from 89,757 (May 2010) to 90,212 (Jul 2024), +455. My series independently gives 89,936 (Jan 2011) to 90,212 (Jul 2024), +276, and 90,577 now: +641 net over 15.6 years. Three sources agree the net figure is a few hundred places.",PAC report HC 366; PQ 26918; weekly_grid.csv
the ten year claim,What the minister s ten years rests on,"The 10-Year Prison Capacity Strategy (Dec 2024) commits to 14,000 places by 2031 at up to GBP 7bn, with a demand assumption of +3,000 prisoners a year. Realised population growth 2011 to 2026 is +246/yr. If the historical net-to-gross ratio holds, 14,000 gross implies about 2,150 net. The Annual Statement itself labels its post-2030 extrapolation experimental and illustrative only, holding court capacity and sentencing practice constant at March 2030 levels.",10-Year Prison Capacity Strategy; Annual Statement 2025 Annex A
2011 to 2026,"Sustained +3,000/yr has never happened over five years","Rolling windows on the weekly series: 11% of 2-year and 6% of 3-year windows reach +3,000/yr or more, so fast growth does occur. But 0% of 5-year windows reach even +2,000/yr. The fastest 5-year run on record is +1,968/yr, and that is the COVID rebound off an artificially depressed base. Median growth is NEGATIVE at every window length: -248/yr over 2 years, -96 over 3, -220 over 5.",weekly_grid.csv rolling windows
sub-periods,The flat 15-year average is not a COVID artefact,"Pre-COVID, Jan 2011 to Feb 2020, 9.1 years: +96/yr (82,991 to 83,868). Essentially flat for a decade before COVID. COVID fall -5,392/yr over 1.1 years. Post-COVID recovery +2,472/yr over 3.5 years. SDS40 era +454/yr. So the flat long-run average is a genuinely flat pre-COVID decade plus a fall and rebound, not an averaging illusion.",weekly_grid.csv sub-period trends
"the +3,000 claim","+3,000/yr is the near-term counterfactual, not a central forecast","In both the Dec 2024 strategy and the Jan 2026 Annual Statement the figure is prefixed ""without further action"". It reconciles with Figure 5 over the first two years (+2,900/yr) but the counterfactual itself decelerates to +1,850/yr in years 3-4 and +1,300/yr in years 5-6. The CENTRAL path including the Sentencing Act is +900/yr over two years and +1,333/yr over six. Quoting +3,000/yr as a ten-year central expectation misstates MoJ on both counts.",Annual Statement 2025 Figures 4 and 5
interpretation,"The projections are conditional, which is why they overshoot","MoJ projects the population under existing release rules; the rules then change in response; the projection overshoots. The WP2 decomposition supports this: 95% of projection error sits in the determinate sentenced population, which is precisely the component set by release policy. A large part of the measured overshoot is therefore the size of the policy response, not forecast incompetence. This does not rescue the projections as a planning basis, because a counterfactual systematically falsified by the publisher own subsequent actions cannot anchor a GBP 7bn build programme.",outputs/error_contribution_summary.csv; brief section 8 endogeneity
2016 to 2026,SENTENCE INFLATION: 21% more custodial time on 1.5% fewer sentences,"All-offence average custodial sentence length rose from 16.3 to 20.1 months (+23.3%) while the number of immediate custodial sentences fell from 90,500 to 89,164 (-1.5%). Total custodial months issued per year rose from 1.48m to 1.79m, +21.5%. Under an unchanged release fraction that implies a sentenced population about 21% higher. The actual total population rose 1.5%.","outputs/custody_by_sentence_length.csv; CJS Q5_2a, Q5_2c, Q5_3"
2016 to 2026,"The mix shifted from short to long, not just the average","Sentences under 6 months fell from 46,855 (51.8% of all custodial sentences) to 40,136 (45.0%), -14.3%. Sentences over 4 years rose from 7,328 (8.1%) to 9,163 (10.3%), +25.0%. Over 15 years and less than life rose 141%, over 10 years +49%, over 3 to 4 years +46%. Life sentences fell 48%. The distribution is being stretched at the top and hollowed at the bottom.",CJS Q5_3
2016 to 2026,Sentence inflation is concentrated in specific offence groups,"Average custodial sentence length by group: miscellaneous crimes against society +33.9% (10.9 to 14.6 months), public order +27.9% (6.8 to 8.7), fraud +22.8% (18.0 to 22.1), sexual offences +20.8% (61.2 to 73.9). Theft went the OTHER way, -14.3% (9.1 to 7.8), as did all summary offences. So it is not general inflation; it is a widening gap between serious and volume crime.",outputs/acsl_by_offence.csv
2016 to 2026,Charging and prosecution volumes fell while custody held flat,"Defendants proceeded against fell from 1,493,801 to 1,360,615 (-8.9%). Cautions fell from 119,724 to 40,195 (-66%). Other out of court resolutions fell 99%, from 72,441 to 882. Community resolutions rose 57%. Summary custodial sentences fell 38.9%, summary non-motoring -46.6%. Indictable custodial sentences rose 6.6%. The funnel narrowed at the top and lengthened at the bottom.","CJS Q1_1, Q5_2a"
implication,The flat population is two large forces cancelling,"Sentence inflation implies roughly +21% on the sentenced stock over a decade. Release-point cuts run the other way: 50% to 40% (SDS40, Sep 2024) to one third (progression, Oct 2026), a factor of about 1.5 on time actually served. The apparently boring flat population line is the net of a large upward push from sentencing and a large downward push from executive release. This also explains the WP2 finding that 95% of MoJ projection error sits in the determinate component.",synthesis of CJS and weekly series
PRIOR ART,Sentence inflation is comprehensively covered,"Sentencing Academy (Pina-Sanchez, Roberts, Bild, Apr 2025) measures severity as custody rate x ACSL against an ONS Crime Severity Score, 2005-2024, all offence groups: severity +62%, crime seriousness +8%, so 87% is genuine inflation and sentencing is 54% more punitive than 2005. Violence and weapons doubled, fraud tripled, drugs and public order show no discernible pattern. Also: Howard League judicial critique (2024, four former Lord Chief Justices), MoJ ACSL analysis 2010-2023 (2025), MoJ Story of the Prison Population 1993-2012, Gauke Independent Sentencing Review Part 1 (2025). Do not present sentence inflation as a finding.","Measuring Sentence Inflation in England and Wales, Sentencing Academy"
PRIOR ART GAP,"Their index deliberately excludes volume, so it does not map to places","The Imprisonment Index is custody rate x ACSL: the severity of the AVERAGE case. It contains no volume term, so it cannot be converted into demand for prison places. Their stated future research directions are guilty pleas, previous convictions, statutory minima, magistrates powers, punitive populism and budget cuts. Release fractions, time served, capacity and the prison population are absent throughout. The bridge from sentencing severity to prison places is unoccupied.","Sentencing Academy report, Conclusion section"
CORRECTION,The flat population is NOT sentence inflation offset by release,"Earlier framing was wrong. Bridge Jun 2017 to Sep 2025: custodial months imposed +9.9% (ACSL +19.8%, volume -8.2%), but the DETERMINATE population fell 16.5%, from 57,726 to 48,224, a loss of 9,502. Release cuts more than absorbed sentence inflation. The total population rose 1.9% only because remand grew 83.6% (+8,062) and recall grew 98.1% (+6,267). Sentenced prisoners were replaced by unsentenced and recalled ones, close to one for one.",outputs/population_composition_actuals.csv
2017 to 2025,"Composition shift is real, not definitional, and COVID-initiated","Determinate share of the population fell from 67.2% to 55.1% while remand plus recall rose from 18.7% to 34.7%. The break is Jun 2019 to Sep 2020: determinate -8,103, remand +3,246, recall +1,858, when courts stopped. Recall then rises steadily every period with no step, so it is not a reclassification. The shift never reversed.",outputs/population_composition_actuals.csv year-on-year
implication,This explains the WP2 error decomposition exactly,"MoJ projected determinate to grow on sentence inflation; release policy cut it instead (determinate error +8,610 in 2020-onward editions). MoJ missed the remand surge (remand error -2,862). The two errors offset, which is why gross projection error is 1.9x net. The composition finding and the decomposition finding are the same phenomenon seen from two directions.",outputs/error_contribution_summary.csv; population_composition_actuals.csv
2023 to 2026,Recall volume nearly doubled in three years,"Recalls per quarter: 6,824 (Q1 2023), 7,415 (Q1 2024), 10,101 (Q1 2025), 14,349 (Q4 2025), 13,193 (Q1 2026). Annualised 27,820 to 51,419, +85%. The inflection sits between Q1 2024 and Q1 2025, which brackets SDS40 in September 2024. 99.4% of recalls result in return to custody.","outputs/recalls_quarterly.csv, OMSQ Table 5.Q.1"
